Application,Entitlement,Conflict
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.WSC.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.MDT.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.FCC.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.AER.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.SRG.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.AQ.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.PRS.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.PMM.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.LOL.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.TPR.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.MJ.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.PPE.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.W9R.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.ITE.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.MTE.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.EIR.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.MWR.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.BPR.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.VR1.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.FCN.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.ECP.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.CLU.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.PAB.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.RCH.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.ATN.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.ALB.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.SEP.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
"MICROSOFT TEAM FOUNDATION SERVER","CN=rl.app.tfs.OSP.PS.DeployRelease,OU=Groups,DC=corp,DC=suntrust,DC=com","CN=rl.app.tfs.admin,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.ecm,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.release.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.CPWM.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.EDO.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Enterprise.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Mortgage.approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=RL.APP.TFS.RiskFinance.Approver,OU=Groups,DC=corp,DC=suntrust,DC=com;CN=rl.app.tfs.Wholesale.approver,OU=Groups,DC=corp,DC=suntrust,DC=com"
